,Company,Style,Price,Star Ratings List,Size,Country of Manufacturer,Units Sold,Units Returned,Months on Market,Sales Trend,Average Star Rating
0,Trendy Tailors,tapered,99.2,"[3.7, 1.7, 5.0, 1.1, 1.2, 3.5, 1.4, 1.9, 1.2, 4.2]",XL,Mexico,9141,122,49,Decreasing,1.1757483926975425
1,Urban Style,tapered,121.09,"[1.3, 5.0, 5.0, 2.4, 2.3, 4.7, 2.1, 2.8, 2.6, 5.0]",XS,Bangladesh,3510,1,8,Stable,1.8276076282199698
2,Blue Threads,cropped,73.92,"[4.1, 4.6, 2.3, 3.3, 3.0, 1.5, 4.9, 5.0, 5.0, 4.8]",L,Bangladesh,5349,-14,29,Increasing,2.305222374505112
3,Trendy Tailors,wide,91.3,"[3.0, 3.1, 1.4, 4.9, 4.5, 4.9, 4.1, 5.0, 5.0, 3.1]",S,USA,2,435,0,Stable,2.353186562210347
4,Blue Threads,flared,21.25,"[2.7, 3.1, 1.2, 1.3, 1.9, 1.8, 1.5, 5.0, 2.5, 4.9]",XL,USA,7376,476,13,Increasing,1.2486042262134758
5,Denim Co.,flared,77.38,"[5.0, 1.2, 4.7, 5.0, 3.4, 5.0, 3.0, 4.8, 3.6, 4.4]",XS,Mexico,3718,229,39,Decreasing,2.460703847028781
6,Classic Cuts,cropped,49.89,"[1.6, 1.9, 3.7, 2.8, 1.6, 1.4, 1.9, 2.8, 5.0, 1.5]",XL,Bangladesh,1821,487,8,Stable,1.1256553419911783
7,Blue Threads,paper bag,125.16999999999999,"[1.9, 5.0, 3.7, 1.3, 4.7, 4.3, 3.2, 5.0, 5.0, 3.4]",XL,Turkey,6304,378,13,Stable,2.2109071213927494
8,Denim Co.,tapered,125.60999999999999,"[2.1, 5.0, 2.5, 2.0, 5.0, 1.1, 4.9, 5.0, 3.5, 1.2]",XS,China,9713,456,63,Stable,1.7515761848244598
9,Urban Style,sailor,95.52,"[3.7, 4.6, 1.4, 5.0, 1.3, 5.0, 1.8, 5.0, 2.9, 3.4]",XL,USA,4639,340,61,Decreasing,1.905031866199602
10,Denim Co.,flared,148.9,"[3.3, 4.7, 5.0, 2.3, 3.8, 1.0, 3.7, 3.0, 3.2, 2.0]",L,Turkey,9362,161,15,Decreasing,1.7265355336513357
11,Blue Threads,straight,114.02000000000001,"[5.0, 4.7, 3.5, 4.0, 1.1, 2.9, 1.9, 5.0, 1.9, 5.0]",S,China,8982,-13,45,Increasing,1.9838907373057266
