Company,Style,Price,Star Ratings List,Size,Country of Manufacturer,Units Sold,Units Returned,Months on Market,Sales Trend,Average Star Rating
Denim Co.,tapered,122.33,"[5.0, 2.1, 4.2, 3.4, 4.1, 1.7, 4.3, 3.5, 1.2, 4.0]",L,Mexico,8237,493,22,Increasing,1.8532590179085613
Classic Cuts,cropped,76.94,"[5.0, 1.3, 1.0, 1.2, 5.0, 4.3, 4.7, 2.9, 1.9, 2.2]",S,Vietnam,937,345,43,Stable,1.5235815007292683
Denim Co.,skinny,141.15,"[3.5, 2.6, 3.4, 5.0, 1.4, 2.3, 4.3, 3.7, 4.7, 5.0]",L,Bangladesh,383,285,46,Stable,2.0642329239838473
Jeans Unlimited,wide,29.27,"[3.7, 3.9, 5.0, 1.2, 5.0, 3.8, 2.0, 4.4, 3.9, 3.8]",XS,China,8431,169,51,Increasing,2.136938939981778
Modern Denim,trouser,62.38,"[3.1, 5.0, 3.3, 5.0, 3.6, 4.1, 1.4, 5.0, 1.8, 1.8]",L,Turkey,3541,349,15,Stable,1.905031866199601
Urban Style,jogger,62.59,"[2.0, 3.1, 3.1, 2.2, 1.8, 4.2, 2.6, 5.0, 3.4, 4.7]",M,Mexico,3530,124,34,Increasing,1.7348657437456336
Trendy Tailors,paper bag,66.52,"[1.7, 3.9, 5.0, 5.0, 4.4, 5.0, 2.7, 2.9, 4.6, 3.3]",XL,Vietnam,9095,242,51,Stable,2.305222374505112
Jeans Unlimited,wide,131.32,"[1.4, 1.5, 4.7, 5.0, 4.2, 5.0, 3.2, 4.5, 4.5, 4.4]",M,Turkey,4044,479,30,Decreasing,2.295695192251911
Comfort Fit,cropped,94.91,"[4.9, 2.6, 4.3, 3.5, 5.0, 1.2, 4.3, 3.6, 3.9, 2.7]",S,Turkey,5585,380,5,Increasing,2.0732537685868673
Denim Co.,flared,137.68,"[1.6, 1.7, 5.0, 5.0, 1.5, 1.5, 4.5, 1.6, 1.5, 2.9]",XL,India,2920,356,19,Stable,1.3154781871522903
Trendy Tailors,cropped,75.29,"[3.3, 5.0, 2.6, 3.1, 5.0, 2.2, 1.2, 5.0, 3.9, 4.1]",XS,China,7339,1,33,Stable,2.0194120848938413
Classic Cuts,cropped,118.66,"[1.4, 1.8, 4.2, 1.1, 2.8, 1.2, 3.1, 2.0, 1.3, 5.0]",XS,USA,1691,218,5,Increasing,1.104415448651643
Jeans Unlimited,wide,119.07,"[4.9, 5.0, 5.0, 3.8, 3.7, 1.4, 3.2, 2.4, 3.7, 3.6]",S,Vietnam,1156,403,6,Decreasing,2.136938939981779
Comfort Fit,straight,103.79,"[2.7, 3.6, 5.0, 5.0, 4.7, 5.0, 1.3, 1.4, 1.6, 1.1]",L,Bangladesh,1386,206,6,Decreasing,1.6769017499897676
Comfort Fit,sailor,109.86,"[3.6, 3.8, 5.0, 5.0, 3.9, 5.0, 2.2, 2.1, 2.7, 4.5]",L,Bangladesh,4895,42,34,Stable,2.2389810021803473
